game_name,spend_day,id
FIFA 17,2017-05-21,669c6d512f610639853f2d2d8a7df64011362bc2
FIFA 17,2017-01-21,b876679a93f6b16bd025c6870309046cbbb5c528
FIFA 17,2017-05-17,87514260f51473bef3c53ac090fe8a3678ca4aa6
FIFA 17,2017-02-04,bb078d3e14a326ce04f97e428322fa5214a617f6
FIFA 17,2017-08-02,cf2434af8f58c2f4bd607dca9b34b69d9a1efd2f
FIFA 17,2016-10-28,55083b0801e7c1a5d2a501dfd62eb89d8ed80a21
FIFA 17,2016-09-28,aa4f551764b411ccf59d04dc7b8875a6782558e9
FIFA 17,2016-10-18,46fdc5c665948f96ad3ac62a997a1d7c36ac6ad1
FIFA 17,2017-07-24,fe0aba4c15fc6c4873a08f7f89fd632063bc48d1
FIFA 17,2017-05-07,b17d02aa56a608d0fcced3d94187be20a77e8087
FIFA 17,2016-12-29,739896078e0dcd0df0c37740384559674ea17def
FIFA 17,2017-04-11,6a6eb2818fb06cc75ffa1b95b90cb5f8c7b3ee0f
FIFA 17,2016-10-28,b9f81b491db0e3a31c4b0c8e1eaf72cce76d6c75
FIFA 17,2016-10-16,381bd4caa6ef178627572023c545c8c18c611006
FIFA 17,2017-04-15,b40894e81bbadc83bdfa4a8d62b3a56f73835f2f
FIFA 17,2017-05-20,c7295f1e7d92628bfd1cf1f051a992318592da5d
FIFA 17,2016-11-26,daee0e98f35b4f2c30b42813ddcf76c94c8d92e4
FIFA 17,2016-10-15,14bae96abc801e131f58927668a1a840bbeb9a45
FIFA 17,2017-02-19,b4e40c3f88768ca6a3dd41660e142bf1f5417cd8
FIFA 17,2017-05-15,76853dd4512f09130ba5260017361de1a2eeefa0
FIFA 17,2016-10-14,fae1b657697a15230c911b8cb17960c4800dbb7a
FIFA 17,2017-03-19,95ab3b23edd5f4a1047a77df03f12e4498c0a3a9
FIFA 17,2016-11-25,ea3f1670fa3686f67cb9d6b076c472703f11650f
FIFA 17,2016-11-12,744888fbd5d8f3d83f42329349ca6ced72a895a7
FIFA 17,2016-10-23,96ab75d3d8771b6e9623a91644bb83c55365592c
FIFA 17,2017-01-28,100aa127842db213c5149afefc2cd9bace860bb2
FIFA 17,2017-05-19,e0aa179a9a6a0d6a907db727035aad9fa2efe25f
FIFA 17,2017-01-15,2b8149d378cbcf4ebe93a607ae6faef8812906cb
FIFA 17,2017-01-31,7ee36f82335a6a61cc2a4b1c60ff96fbf5c17462
MADDEN 17,2017-02-24,e87c7586f360ecf65f912793ec7f627d12c7ca2b
FIFA 17,2016-12-19,9f4b94d4c5b894942db4f0b766452441f6bb5c8f
FIFA 17,2016-09-29,ee0b4c919fa5c6ac9f9f5cf732f201f7b0702abf
FIFA 17,2017-01-29,d183a3a5f0952c6b22ad1c7bce92ebe56ca324db
FIFA 17,2016-10-22,7d92a94bde3f4f24168ae43fee19366e86ee39aa
FIFA 17,2017-07-11,2e4f2ce4cda6e337e18a4224d51ee8f7e4b9c500
FIFA 17,2016-12-13,2e3135958d0a9984fafdd04677cfe17835df2120
FIFA 17,2017-06-20,66dc36bffa5aeb4950d9e62957a98275383d0285
FIFA 17,2017-05-26,68bc4eb4466e3cfe69a0b794b5a90fa57c88e42d
FIFA 17,2016-10-10,3d72611523527d0e9f0abb0d3b94f5d5f77604a1
FIFA 17,2016-10-24,081685b64613cc7035530cf1d4c1b61f0ed53ecd
FIFA 17,2016-12-25,3fca56d5b1726361e5b717139c614d37ad4f55a6
FIFA 17,2016-10-03,b1762a8ca06bf3f375eb0a43f6be4f05ec704f6a
FIFA 17,2017-06-23,db79ab2d59528793f2072167e9d63ffc66ec8d2a
FIFA 17,2016-11-08,e0aa179a9a6a0d6a907db727035aad9fa2efe25f
FIFA 17,2016-10-03,a4ae12a1419e5e0ca18a342104124dd9bad7ca4b
NHL 17,2017-03-17,4850bed30cf57a952f2c670a12eeb5eb54c47318
FIFA 17,2016-10-02,51ebcdd8bb972916caff59e8f864a2ff767f4dd1
FIFA 17,2016-12-10,15854fd2bf63b13288e3821884c3d95aaec1a353
NHL 17,2016-11-22,070ab7790d690a2eb46dafa8a2b78f1b558a9ad7
FIFA 17,2017-06-16,669c6d512f610639853f2d2d8a7df64011362bc2
FIFA 17,2017-04-25,44ad5d99bcc6fea7cdc91db5447f9c77b316a888
FIFA 17,2017-03-26,f8f59cc25e547e51cefa91a896f9255f5cba03dd
FIFA 17,2017-02-10,e0aa179a9a6a0d6a907db727035aad9fa2efe25f
FIFA 17,2017-03-22,cd9cf44b3638d6ccf34e8c466f69e0d72e57f49f
FIFA 17,2016-09-29,3f21a77f91ac121e175085cdc11270e0f7f9fc1d
FIFA 17,2017-03-21,c8b2eb1ff1770ab9b1c79062c2bb254303da64f3
FIFA 17,2016-12-22,76853dd4512f09130ba5260017361de1a2eeefa0
FIFA 17,2016-10-03,5f3888e0dc3241d6b0f7c3c84feef3b831c0a210
FIFA 17,2016-10-28,5a61181324b58556fb4abbcb8a15e42ea2981ca9
FIFA 17,2017-01-02,7fb5b119e5c26832ea2c1de050276e85d9d53d76
FIFA 17,2017-03-24,081685b64613cc7035530cf1d4c1b61f0ed53ecd
FIFA 17,2017-04-05,b17d02aa56a608d0fcced3d94187be20a77e8087
FIFA 17,2017-05-20,c16bfc0bbf52b21f71a70f6e2302a41ebd3d39b9
FIFA 17,2016-10-10,2d9c6cef770ad937b6390321992d8b5d0f9f2d39
FIFA 17,2016-10-22,739896078e0dcd0df0c37740384559674ea17def
FIFA 17,2016-10-23,e08e58310afa47a1d86c6311079bbecf269f6d3d
FIFA 17,2017-01-04,a20ffb169dce9b4584db8395698a97391d52878b
FIFA 17,2016-10-04,1acf4f938244cb535b27b7d6aaee4dea9cda81fe
FIFA 17,2017-03-13,afd1c62829af4b8577b345ad85ad949b71cf9d9e
FIFA 17,2017-02-03,cd9cf44b3638d6ccf34e8c466f69e0d72e57f49f
FIFA 17,2016-10-23,14bae96abc801e131f58927668a1a840bbeb9a45
FIFA 17,2016-12-07,ac5c0d6c89fe709e3a1c377ad6c42a5b9035b1d3
FIFA 17,2016-11-16,8ef8297f3730cc637a12b186c4d47f460d2616fb
FIFA 17,2016-11-19,bdc90c9ce3a944f6ecb0334f9ec19bfa4753ab2f
FIFA 17,2016-11-04,ac5c0d6c89fe709e3a1c377ad6c42a5b9035b1d3
FIFA 17,2017-02-05,18addbbb46220b67e0c86a991ff59f83fa677e41
FIFA 17,2017-01-03,ed8c2ef549bc5bfec7f9f619046eab4b2d8b321b
FIFA 17,2017-05-07,55083b0801e7c1a5d2a501dfd62eb89d8ed80a21
MADDEN 17,2017-01-14,aee05881c4fecc05b5a3f23a2a7d3a682863dc8b
FIFA 17,2017-06-18,942143212d48675ac3edf57ee3fd20518cc5f776
FIFA 17,2017-03-26,7bbe64ada2225602748788e6db6e820dc0d97468
FIFA 17,2017-05-25,a5499debdfd2539bf9b37c31fdc49d2e8ff7a059
FIFA 17,2017-03-05,744888fbd5d8f3d83f42329349ca6ced72a895a7
FIFA 17,2017-01-08,a5499debdfd2539bf9b37c31fdc49d2e8ff7a059
FIFA 17,2017-04-12,88b482cf172a9fae5270fa966215a73690531c21
FIFA 17,2016-12-18,1516f866fcfc154493430ad95eeb11a856c83a78
FIFA 17,2016-09-28,16761f5bd363fbccd86341993676489ec1dc81c1
FIFA 17,2016-12-07,ecdab9dc05431dda9051b94dd9e2682bb21b0c71
FIFA 17,2017-01-14,d28b753663b284123d06fd8687f7e82622c63893
FIFA 17,2017-07-17,b17d02aa56a608d0fcced3d94187be20a77e8087
FIFA 17,2016-12-16,c8b2eb1ff1770ab9b1c79062c2bb254303da64f3
FIFA 17,2017-06-02,56453f93f8e17bfeb786ef9cf72ea857a0eb2091
FIFA 17,2017-08-21,9f4b94d4c5b894942db4f0b766452441f6bb5c8f
FIFA 17,2017-07-14,0f963e906a3a3fcd38ab1800519a0d6b4f62481c
MADDEN 18,2017-08-29,51887124b0a0e31ded954687756a3537340c8a66
FIFA 17,2017-02-16,66dc36bffa5aeb4950d9e62957a98275383d0285
FIFA 17,2017-01-31,f1554d22fe7746939831c8242ad07a275f2c7982
FIFA 17,2016-09-30,c440e5171992602ab63c4ad7cdc1194f381de73e
FIFA 17,2016-10-24,64ec7ca4f3e96df97a458a981e6321593b994535
FIFA 17,2016-11-06,9bf296cf76d642cf7d2d10e86bfd8aafed228186
FIFA 17,2016-10-17,4369260e4a29e58e1db2902b13da0054388f136f
FIFA 17,2017-05-15,53ee007342deb556beecc1399cdd1535447d51a0
FIFA 17,2017-02-18,a5499debdfd2539bf9b37c31fdc49d2e8ff7a059
MADDEN 17,2016-12-20,fbe9a553cdf6170131c761f69e9d4a567cb53a8d
FIFA 17,2016-10-05,98c32c508d7475f9a4562a942147acdf3a841cb9
FIFA 17,2017-06-01,9df73053f4be80f607a086e797abe9342cfa34fb
MADDEN 17,2017-01-22,fbe9a553cdf6170131c761f69e9d4a567cb53a8d
FIFA 17,2017-04-16,55083b0801e7c1a5d2a501dfd62eb89d8ed80a21
FIFA 17,2017-01-08,bf61c15dcf42338a416e62443645ff1e01ca86d5
FIFA 17,2016-12-17,739896078e0dcd0df0c37740384559674ea17def
MADDEN 17,2017-06-20,05c39588739dd99bc03b43b6440edaa7460b486b
FIFA 17,2016-10-07,427100504451aca8f8131af67df07fb6c42e009f
FIFA 17,2017-01-12,f6be38af8215eec7d0e5ab5059b22477c3e1ce37
FIFA 17,2017-01-12,40c8acbbf98a7212f61ae9ff79ac21fcdac8529c
