game_name,id,game_genre,game_launch_date,purchase_date
UFC 2,76f520815dea1a2970eaa7cdf4a93fe9a8107b18,Fighting,2016-03-09,2017-04-03
UFC,941a5778ab4ca32c57fb274cb6015174729b2070,Fighting,,2016-04-02
BATTLEFIELD 1,e59ab2c445021c818b74ac4b09106799bebcb1d0,Shooter,2016-10-21,2017-03-01
FIFA 17,942a9037ccbea2b5401a591acb9372a3bd9a661b,Sports,2016-09-27,2016-09-28
TITANFALL,648029598b81d7147c308b1a8bf2d64e5b81ddcb,Shooter,,2016-10-13
NFS 2016,acbbd336b976abb9508ded23d4bb1eecdec97f72,Action,2015-11-03,2016-11-21
FIFA 16,94afd4d69d70985bdf29183f9bed0107c440a4a8,Sports,2015-09-22,2016-05-26
PLANTS VS ZOMBIES GARDEN WARFARE,847b63734b54509fdd878625c64bac663d123b72,Shooter,,2016-01-16
TITANFALL,500a804ee680839012349a406266ce7c27606355,Shooter,,2016-10-14
EA ACCESS,d14ccd51e953b4f047f874c9e63758daf4aa9bbd,Other Games/Compilations,,2017-06-13
FIFA 17,b8cd5d798ad2968922810fd9c18f35807c494a79,Sports,2016-09-27,2017-08-11
FIFA 17,81c040bf0df28825376b1807e3ffffd387051849,Sports,2016-09-27,2016-12-16
NHL 16,a0f29cd81d1eec97980749331c98209ed4ab5a4e,Sports,,2015-11-18
NFS 2016,8d6191e8a1437ac1968f885ac02b404df907b469,Action,2015-11-03,2015-12-15
FIFA 16,717ef0960ee0b8cbbc286f15006448c88a6c01f1,Sports,2015-09-22,2015-09-27
FIFA 17,93d4b6150b1f994c4bef2b177e38686071dff48b,Sports,2016-09-27,2017-03-04
BATTLEFIELD 1,aea4efa2913aa82f812f130e14d3bee152634138,Shooter,2016-10-21,2016-12-27
UFC 2,56020e9e34b9e762eed58a71449c3b7a105ad6f7,Fighting,2016-03-09,2017-02-19
BATTLEFIELD 1,c54a31ca7e23307dd5cbd3cd15e1ec066a006ea5,Shooter,2016-10-21,2017-01-09
BATTLEFRONT,cbb7f432dc193ce45309c001b38c146008d9303b,Shooter,2015-11-17,2015-12-13
BATTLEFRONT,bce57c5e53cd0b1098bbc328cda5f7029d91faaa,Shooter,2015-11-17,2015-12-30
